scaf_name,chr_type,MF,MF_adj
1_Tdi_b3v08_scaf000119,X,-0.909118526815774,-0.9991185
1_Tdi_b3v08_scaf000120,X,-0.977957950083957,-1.067958
1_Tdi_b3v08_scaf000121,A,-0.0106822983210185,-0.1006823
1_Tdi_b3v08_scaf000122,A,-0.0574997066171679,-0.1474997
1_Tdi_b3v08_scaf000123,A,0.0195560620014497,-0.07044394
1_Tdi_b3v08_scaf000124,A,-0.143176296349433,-0.2331763
1_Tdi_b3v08_scaf000125,A,0.0236874106797333,-0.06631259
1_Tdi_b3v08_scaf000126,A,-0.0293204408026934,-0.1193204
1_Tdi_b3v08_scaf000127,A,-0.0369984394612899,-0.1269984
1_Tdi_b3v08_scaf000128,A,-0.0523543557635825,-0.1423544
1_Tdi_b3v08_scaf000129,A,0.0598116170089574,-0.03018838
1_Tdi_b3v08_scaf000130,A,-0.0190360511782818,-0.1090361
1_Tdi_b3v08_scaf000131,A,0.0285462596347697,-0.06145374
1_Tdi_b3v08_scaf000132,A,0.092227936225573,0.002227936
1_Tdi_b3v08_scaf000133,A,-0.0277839881746075,-0.1177840
1_Tdi_b3v08_scaf000134,A,0.0486356492379444,-0.04136435
1_Tdi_b3v08_scaf000135,A,0.0219309298369891,-0.06806907
1_Tdi_b3v08_scaf000136,A,-0.654452230246074,-0.7444522
1_Tdi_b3v08_scaf000137,A,0.00803131965699974,-0.08196868
1_Tdi_b3v08_scaf000138,A,-0.0309478283836745,-0.1209478
1_Tdi_b3v08_scaf000139,A,-0.0496846910120868,-0.1396847
1_Tdi_b3v08_scaf000140,A,-0.0330958246410347,-0.1230958
1_Tdi_b3v08_scaf000141,X,-0.930945046057329,-1.020945
1_Tdi_b3v08_scaf000142,A,0.075034436563258,-0.01496556
1_Tdi_b3v08_scaf000143,A,-0.0945714807562038,-0.1845715
1_Tdi_b3v08_scaf000144,A,0.0110321182001939,-0.07896788
1_Tdi_b3v08_scaf000145,A,0.0610789971997142,-0.02892100
1_Tdi_b3v08_scaf000146,A,-0.0172619997666461,-0.1072620
1_Tdi_b3v08_scaf000147,A,-0.0433552159416094,-0.1333552
1_Tdi_b3v08_scaf000148,A,0.0467513307271563,-0.04324867
1_Tdi_b3v08_scaf000149,A,-0.0194497818207281,-0.1094498
1_Tdi_b3v08_scaf000150,A,-0.0105061450876769,-0.1005061
1_Tdi_b3v08_scaf000151,A,-0.0287875937918164,-0.1187876
1_Tdi_b3v08_scaf000152,A,0.0124572395544172,-0.07754276
1_Tdi_b3v08_scaf000153,A,0.0410615327579192,-0.04893847
1_Tdi_b3v08_scaf000154,A,0.0522650409057522,-0.03773496
1_Tdi_b3v08_scaf000155,A,0.0204119792030375,-0.06958802
1_Tdi_b3v08_scaf000156,A,0.0336715414788233,-0.05632846
1_Tdi_b3v08_scaf000157,A,0.00828863293167925,-0.08171137
1_Tdi_b3v08_scaf000158,A,-0.0811641839400916,-0.1711642
1_Tdi_b3v08_scaf000159,A,-0.0956986820958299,-0.1856987
1_Tdi_b3v08_scaf000160,A,0.012074938803998,-0.07792506
1_Tdi_b3v08_scaf000161,X,-0.944137066273921,-1.034137
1_Tdi_b3v08_scaf000162,A,0.0460072065553796,-0.04399279
1_Tdi_b3v08_scaf000163,A,-0.021951081803808,-0.1119511
1_Tdi_b3v08_scaf000164,A,0.0475389243184387,-0.04246108
1_Tdi_b3v08_scaf000165,A,-0.117267441901513,-0.2072674
1_Tdi_b3v08_scaf000166,A,0.00193684652093088,-0.08806315
1_Tdi_b3v08_scaf000167,X,-0.976174101335481,-1.066174
1_Tdi_b3v08_scaf000168,A,0.0499671257102522,-0.04003287
1_Tdi_b3v08_scaf000169,X,-0.929513824330098,-1.019514
1_Tdi_b3v08_scaf000170,A,0.0608440948848068,-0.02915591
1_Tdi_b3v08_scaf000171,X,-0.956153734714678,-1.046154
1_Tdi_b3v08_scaf000172,A,-0.0325087479848847,-0.1225087
1_Tdi_b3v08_scaf000173,A,0.0624165087534009,-0.02758349
1_Tdi_b3v08_scaf000174,A,-0.0290399109641791,-0.1190399
1_Tdi_b3v08_scaf000175,A,-0.121450300315932,-0.2114503
1_Tdi_b3v08_scaf000176,A,-0.0526069994260618,-0.1426070
1_Tdi_b3v08_scaf000177,X,-0.995856175542519,-1.085856
1_Tdi_b3v08_scaf000178,X,-0.93561274868596,-1.025613
1_Tdi_b3v08_scaf000179,A,-0.00888719026349539,-0.09888719
1_Tdi_b3v08_scaf000180,A,0.0313666889476496,-0.05863331
1_Tdi_b3v08_scaf000181,X,-0.932554458099224,-1.022554
1_Tdi_b3v08_scaf000182,A,0.0847621670203909,-0.005237833
1_Tdi_b3v08_scaf000183,A,0.0137392666487852,-0.07626073
1_Tdi_b3v08_scaf000184,A,0.0491877043615558,-0.04081230
1_Tdi_b3v08_scaf000185,A,-0.0887259830015499,-0.1787260
1_Tdi_b3v08_scaf000186,A,-0.106715914646871,-0.1967159
1_Tdi_b3v08_scaf000187,A,-0.0280677116542406,-0.1180677
1_Tdi_b3v08_scaf000188,A,-0.000043768490047003,-0.09004377
1_Tdi_b3v08_scaf000189,X,-0.92784339286126,-1.017843
1_Tdi_b3v08_scaf000190,A,-0.054256967456103,-0.1442570
1_Tdi_b3v08_scaf000191,A,-0.0317038845154018,-0.1217039
1_Tdi_b3v08_scaf000192,X,-0.90780202694558,-0.9978020
1_Tdi_b3v08_scaf000193,A,0.0104487949844445,-0.07955121
1_Tdi_b3v08_scaf000194,A,-0.0219407150121171,-0.1119407
1_Tdi_b3v08_scaf000195,X,-0.971640853715791,-1.061641
1_Tdi_b3v08_scaf000196,A,-0.163844530422493,-0.2538445
1_Tdi_b3v08_scaf000197,A,-0.0272796412588232,-0.1172796
1_Tdi_b3v08_scaf000198,A,-0.0424900048276008,-0.1324900
1_Tdi_b3v08_scaf000199,X,-0.919889223561901,-1.009889
1_Tdi_b3v08_scaf000200,X,-0.972475845145985,-1.062476
1_Tdi_b3v08_scaf000201,A,0.0127152325156939,-0.07728477
1_Tdi_b3v08_scaf000202,A,-0.0229978084576364,-0.1129978
1_Tdi_b3v08_scaf000203,A,0.0311530375193472,-0.05884696
1_Tdi_b3v08_scaf000204,A,-0.058196747290435,-0.1481967
1_Tdi_b3v08_scaf000205,A,-0.0237858473618835,-0.1137858
1_Tdi_b3v08_scaf000206,A,-0.00428514950527917,-0.09428515
1_Tdi_b3v08_scaf000207,A,0.0316173522741859,-0.05838265
1_Tdi_b3v08_scaf000208,A,-0.0520546716570341,-0.1420547
1_Tdi_b3v08_scaf000209,X,-0.915157666721342,-1.005158
1_Tdi_b3v08_scaf000210,A,0.0664919610717366,-0.02350804
1_Tdi_b3v08_scaf000211,X,-1.00111009655569,-1.091110
1_Tdi_b3v08_scaf000212,A,0.00838717222658216,-0.08161283
1_Tdi_b3v08_scaf000213,A,-0.140501843966882,-0.2305018
1_Tdi_b3v08_scaf000214,A,-0.0402244875848481,-0.1302245
1_Tdi_b3v08_scaf000215,A,-0.0213014420594431,-0.1113014
1_Tdi_b3v08_scaf000216,A,0.000803711239814563,-0.08919629
1_Tdi_b3v08_scaf000217,A,-0.0437530117132252,-0.1337530
1_Tdi_b3v08_scaf000218,A,-0.0669978781766711,-0.1569979
1_Tdi_b3v08_scaf000219,A,0.0321997425089761,-0.05780026
1_Tdi_b3v08_scaf000220,A,0.0101151732282631,-0.07988483
1_Tdi_b3v08_scaf000221,A,0.0353798054156239,-0.05462019
1_Tdi_b3v08_scaf000222,A,-0.0729583536623932,-0.1629584
1_Tdi_b3v08_scaf000223,A,0.00249225940456501,-0.08750774
1_Tdi_b3v08_scaf000224,A,0.0163020167045712,-0.07369798
1_Tdi_b3v08_scaf000225,A,0.00103322407366507,-0.08896678
1_Tdi_b3v08_scaf000226,A,0.0238342974979281,-0.06616570
1_Tdi_b3v08_scaf000227,A,0.0488499302351045,-0.04115007
1_Tdi_b3v08_scaf000228,A,0.0409507623218975,-0.04904924
1_Tdi_b3v08_scaf000229,A,-0.000613193698740216,-0.09061319
1_Tdi_b3v08_scaf000230,A,0.0123823837298761,-0.07761762
1_Tdi_b3v08_scaf000231,A,-0.048535357279703,-0.1385354
1_Tdi_b3v08_scaf000232,A,-0.0227616584892318,-0.1127617
1_Tdi_b3v08_scaf000233,A,-0.0139938341732773,-0.1039938
1_Tdi_b3v08_scaf000234,A,0.0395869195563286,-0.05041308
1_Tdi_b3v08_scaf000235,A,0.0362619684920029,-0.05373803
1_Tdi_b3v08_scaf000236,X,-0.916821563225711,-1.006822
1_Tdi_b3v08_scaf000237,A,0.0440476656098148,-0.04595233
1_Tdi_b3v08_scaf000238,A,0.0743274359747201,-0.01567256
1_Tdi_b3v08_scaf000239,A,0.00814959546430632,-0.08185040
1_Tdi_b3v08_scaf000240,A,-0.0278699611573884,-0.1178700
1_Tdi_b3v08_scaf000241,A,-0.0372252363299733,-0.1272252
1_Tdi_b3v08_scaf000242,A,0.0517401667941685,-0.03825983
1_Tdi_b3v08_scaf000243,A,0.0562906430565954,-0.03370936
1_Tdi_b3v08_scaf000244,A,0.00933662476382827,-0.08066338
1_Tdi_b3v08_scaf000245,A,-0.0398694881547707,-0.1298695
1_Tdi_b3v08_scaf000246,A,0.0294505281001614,-0.06054947
1_Tdi_b3v08_scaf000247,A,0.0265216739009507,-0.06347833
1_Tdi_b3v08_scaf000248,A,-0.0536277224233588,-0.1436277
1_Tdi_b3v08_scaf000249,A,-1.04858461132411,-1.138585
1_Tdi_b3v08_scaf000250,X,-1.00201102852087,-1.092011
1_Tdi_b3v08_scaf000251,A,0.00599524950843737,-0.08400475
1_Tdi_b3v08_scaf000252,A,0.00331423466049439,-0.08668577
1_Tdi_b3v08_scaf000253,A,0.048778841192237,-0.04122116
1_Tdi_b3v08_scaf000254,A,0.0622219026307567,-0.02777810
1_Tdi_b3v08_scaf000255,X,-0.913421831709345,-1.003422
1_Tdi_b3v08_scaf000256,A,-0.0185312835942526,-0.1085313
1_Tdi_b3v08_scaf000257,A,-0.140943486975685,-0.2309435
1_Tdi_b3v08_scaf000258,A,0.0593231114585158,-0.03067689
1_Tdi_b3v08_scaf000259,A,-0.00782213876104409,-0.09782214
1_Tdi_b3v08_scaf000260,A,0.0747502612888862,-0.01524974
1_Tdi_b3v08_scaf000261,A,-0.0599242793102671,-0.1499243
1_Tdi_b3v08_scaf000262,A,0.0122741520798286,-0.07772585
1_Tdi_b3v08_scaf000263,A,-0.00828611898730619,-0.09828612
1_Tdi_b3v08_scaf000264,A,0.0672242714200067,-0.02277573
1_Tdi_b3v08_scaf000265,A,0.0340153506793485,-0.05598465
1_Tdi_b3v08_scaf000266,A,-0.0237575599678143,-0.1137576
1_Tdi_b3v08_scaf000267,A,0.0246150341323145,-0.06538497
1_Tdi_b3v08_scaf000268,A,-0.0281457518245039,-0.1181458
1_Tdi_b3v08_scaf000269,A,0.030365842055407,-0.05963416
1_Tdi_b3v08_scaf000270,A,0.00662726597163119,-0.08337273
1_Tdi_b3v08_scaf000271,X,-0.894962451184324,-0.9849625
1_Tdi_b3v08_scaf000272,A,-0.00857351286186561,-0.09857351
1_Tdi_b3v08_scaf000273,X,-0.893628021961366,-0.9836280
1_Tdi_b3v08_scaf000274,A,-0.0556443589944292,-0.1456444
1_Tdi_b3v08_scaf000275,A,-0.0377067003466747,-0.1277067
1_Tdi_b3v08_scaf000276,X,-0.940524795229879,-1.030525
1_Tdi_b3v08_scaf000277,A,-0.0427963724061746,-0.1327964
1_Tdi_b3v08_scaf000278,A,-0.0391069986778872,-0.1291070
1_Tdi_b3v08_scaf000279,A,0.0501820070529071,-0.03981799
1_Tdi_b3v08_scaf000280,A,-0.00987036855050962,-0.09987037
1_Tdi_b3v08_scaf000281,A,0.0126403045666917,-0.07735970
1_Tdi_b3v08_scaf000282,A,0.00950735147028074,-0.08049265
1_Tdi_b3v08_scaf000283,A,0.0869578829140529,-0.003042117
